code;parent;label-pt_PT;label-en_US;label-es_AR;label-pt_BR
493;481;Champôs;Champôs;Champôs;Champôs
584;364;"Vitamins & Supplements";"Vitamins & Supplements";"Vitamins & Supplements";"Vitamins & Supplements"
494;481;Coleiras;Coleiras;Coleiras;Coleiras
412;362;"Saúde Auditiva";"Ear Care";"Salud Auditiva";"Saúde Auditiva"
913;364;"Primeiros Socorros e Recuperação";"First Aid & Recovery";"Primeros Auxilios y Recuperación";"Primeiros Socorros e Recuperação"
495;481;Laçarotes;Laçarotes;Laçarotes;Laçarotes
529;362;Stress;Stress;Stress;Stress
533;362;"Proteção Pancreática";"Pancreatic Care";"Protección Pancreática";"Proteção Pancreática"
496;481;Peitorais;Peitorais;Peitorais;Peitorais
585;362;"Vitamins & Supplements";"Vitamins & Supplements";"Vitamins & Supplements";"Vitamins & Supplements"
497;481;Roupas;Roupas;Roupas;Roupas
498;481;Suplementos;Suplementos;Suplementos;Suplementos
499;481;Trelas;Trelas;Trelas;Trelas
500;481;WC;WC;WC;WC
513;481;Arranhadores;Arranhadores;Arranhadores;Arranhadores
758;757;"Acessorios para Tosquia";"Grooming Tools";"Accesorios Cortapelos";"Acessorios para Tosquia"
914;400;Coleiras;Collars;Collars;Coleiras
372;890;Areia;Litter;Arena;Areia
721;689;"Algicidas e Claridade da Água";"Algaecides & Water Clarity";"Antialgas e clarificadores de Agua";"Algicidas e Claridade da Água"
717;688;"Aquecedores e Termómetros";"Heaters & Thermometers";"Calentadores y Termómetros";"Aquecedores e Termómetros"
715;714;"Fungus e Bactérias";"Fungus & Bacteria Treatments";"Fungus y Bacterias";"Fungus e Bactérias"
917;399;Comedouros;"Bowls & Diners";Comederos;Comedouros
842;385;Comedouros;"Bowls & Diners";Comederos;Comedouros
907;384;"Anti Stress";"Calming Aids";"Anti Stress";"Anti Stress"
834;383;"Trelas e Coleiras para Treino";"Training Leashes & Collars";"Correas y Collares para Entrenamiento";"Trelas e Coleiras para Treino"
850;392;"Almofadões e Colchões";"Pillow Beds";"Cojines y Colchones";"Almofadões e Colchões"
800;379;Peitorais;Harnesses;Arneses;Peitorais
792;398;"Biscoitos e Snacks Estaladiços";"Biscuits & Crunchy Treats";"Galletas y Snacks Crujientes";"Biscoitos e Snacks Estaladiços"
779;361;"Snacks de Higiene Oral";"Dental Treats";"Snacks de Higiene Oral";"Snacks de Higiene Oral"
874;417;"Almofadões e Colchões";"Pillow Beds";"Cojines y Colchones";"Almofadões e Colchões"
817;380;"Malas de Transporte";Carriers;"Bolsos de Transporte";"Malas de Transporte"
858;589;Jackets;Jackets;Jackets;Jackets
879;878;"Acessorios para Tosquia";"Grooming Tools";"Accesorios Cortapelos";"Acessorios para Tosquia"
771;770;"Tapetes Higiénicos e Fraldas";"Potty Pads & Diapers";"Empapadores y Pañales";"Tapetes Higiénicos e Fraldas"
731;730;Tartarugas;Turtles;Tortugas;Tartarugas
710;687;Filtros;Filters;Filtros;Filtros
595;594;"Puzzles e Jogos";"Puzzle Toys and Games";"Puzzle y Juguetes";"Puzzles e Jogos"
610;609;Puzzles;Puzzles;Puzzles;Puzzles
599;598;Bolas;Balls;Pelotas;Bolas
607;606;"Com Enchimento";Stuffed;"Con Relleno";"Com Enchimento"
614;613;"Restrição Calórica";"Restrição Calórica";"Restricción Calórica";"Restrição Calórica"
705;686;"Plantas Artificiais";"Artificial Plants";"Plantas Artificiales";"Plantas Artificiais"
699;685;"Bombas de Ar e Pedras Difusoras";"Air Pumps & Air Stones";"Bombas de Aire y Piedras Difusoras";"Bombas de Ar e Pedras Difusoras"
632;631;"Restrição Calórica";"Restrição Calórica";"Restricción Calórica";"Restrição Calórica"
603;602;"Dureza Média";Moderate;"Dureza Média";"Dureza Média"
851;392;"Camas Reforçadas";"Bolster Beds";"Camas Reforzadas";"Camas Reforçadas"
596;594;"Dispensadores de snacks";"Treat Toys";"Dispensadores de Snacks";"Dispensadores de snacks"
780;361;"Snacks Macios e Para Mastigar";"Soft & Chewy Treats";"Snacks Suaves y Masticables";"Snacks Macios e Para Mastigar"
600;598;Discos;Discs;Discos;Discos
604;602;"Dureza Elevada";Tough;"Dureza Elevada";"Dureza Elevada"
759;757;"Toalhas e Outros";"Bath & Shower Supplies";"Toallas de Baño y Otros";"Toalhas e Outros"
897;890;WC;"Litter Boxes";"Bandejas Sanitárias";WC
880;878;"Champôs e Amaciadores";"Shampoos & Conditioners";"Champús y Acondicionadores";"Champôs e Amaciadores"
915;400;"Trelas e Peitorais";"Leashes & Harnesses";"Correas y Arneses";"Trelas e Peitorais"
875;417;"Camas Cobertas";"Covered Beds";"Camas Cubiertas";"Camas Cobertas"
921;399;Dispensadores;"Feeders & Wateres";Dispensadores;Dispensadores
772;770;"Sacos Higiénicos e Dispensadores";"Poop Bags & Scoopers";"Bolsitas y Dispensadores";"Sacos Higiénicos e Dispensadores"
861;589;"Sweaters & Tops";"Sweaters & Tops";"Sweaters & Tops";"Sweaters & Tops"
846;385;Dispensadores;"Feeders & Wateres";Dispensadores;Dispensadores
718;688;Luminárias;"Light Fixtures";Luminarias;Luminárias
633;631;Cardíacos;Cardiac;Cardíacos;Cardíacos
706;686;"Posters Para Aquários e Madeiras";"Backgrounds & Wood";"Carteles para Acuarios y Maderas";"Posters Para Aquários e Madeiras"
722;689;"Tratamentos Ph";"Ph Treatments";"Tratamientos Ph";"Tratamentos Ph"
821;380;Transportadoras;Kennels;Transportines;Transportadoras
700;685;"Bombas de Água";"Water Pumps & Powerheads";"Bombas de Agua";"Bombas de Água"
793;398;"Snacks Macios e Para Mastigar";"Soft & Chewy Treats";"Snacks Suaves y Masticables";"Snacks Macios e Para Mastigar"
611;609;"Dispensadores de Snacks";"Treat Toys";"Dispensadores de Snacks";"Dispensadores de Snacks"
716;714;"Tratamentos Anti Parasitas e Íctio";"Parasite & Ick Treatments";"Tratamientos Anti Parasitas e Ictio";"Tratamentos Anti Parasitas e Íctio"
804;379;Trelas;Leashes;Correas;Trelas
608;606;"Sem Enchimento";Unstuffed;"Sin Relleno";"Sem Enchimento"
835;383;Repelentes;Repellents;Repelentes;Repelentes
732;730;Lagartos;Lizards;Lagartos;Lagartos
615;613;Cardíacos;Cardiac;Cardíacos;Cardíacos
883;878;"Escovas e Pentes";"Brushes & Combs";"Cepillos y Peines";"Escovas e Pentes"
876;417;"Camas Refrescantes";"Cooling Beds";"Camas Refrescantes";"Camas Refrescantes"
836;383;"Treino de Agilidade";"Agility Training";"Entrenamiento de Agilidad";"Treino de Agilidade"
822;380;"Accessórios Carro";"Car Accessories";"Accessorios Coche";"Accessórios Carro"
775;770;"Tira Manchas e Odores";"Stain & Odor Removers";"Quita Manchas y Olores";"Tira Manchas e Odores"
794;398;"Catnip e Ervas";"Catnip & Grass";"Hierba Gatera y Hierbas";"Catnip e Ervas"
847;385;"Fontes e Filtros";"Fountains & Filters";"Fuentes y Filtros";"Fontes e Filtros"
634;631;Convalescença;Convalescence;Convalecencia;Convalescença
781;361;"Biscoitos e Snacks Estaladiços";"Biscuits & Crunchy Treats";"Galletas y Snacks Crujientes";"Biscoitos e Snacks Estaladiços"
852;392;Cestos;"Basket Beds";Cestas;Cestos
900;890;"Acessórios WC";"Litter Box Accessories";"Accesorios WC";"Acessórios WC"
811;379;"Coleiras e Açaimes";"Collars & Muzzles";"Collares y Bozales";"Coleiras e Açaimes"
707;686;Decoração;Ornaments;Decoración;Decoração
597;594;Túneis;Tunnels;Túneles;Túneis
601;598;Bastões;Sticks;Palos;Bastões
712;687;"Material Filtrante";"Filter Media & Cartridges";"Material Filtrante";"Material Filtrante"
616;613;Convalescença;Convalescence;Convalecencia;Convalescença
701;685;"Bombas Multifuncionais";"Multifunctional Pumps";"Bombas Multifunccionales";"Bombas Multifuncionais"
605;602;"Dureza Máxima";Extreme;"Dureza Máxima";"Dureza Máxima"
723;689;"Sais e Minerais";"Salt & Minerals";"Sales y Minerales";"Sais e Minerais"
719;688;"Lâmpadas para Aquários";"Replacement Bulbs";"Lámparas para Acuarios";"Lâmpadas para Aquários"
865;589;"Acessories & Other Clothes";"Acessories & Other Clothes";"Acessories & Other Clothes";"Acessories & Other Clothes"
916;400;"Placas de Identificação e Outros";"ID Tags & Accessories";"Placas de Identificación y Otros";"Placas de Identificação e Outros"
922;399;"Fontes e Filtros";"Fountains & Filters";"Fuentes y Filtros";"Fontes e Filtros"
760;757;"Champôs e Amaciadores";"Shampoos & Conditioners";"Champús y Acondicionadores";"Champôs e Amaciadores"
909;384;"Tira Manchas e Odores";"Stain & Odor Removers";"Quita Manchas y Olores";"Tira Manchas e Odores"
848;385;"Tapetes para Comedouros";Placemats;"Manteles Individuales";"Tapetes para Comedouros"
929;589;Vestidos;Dresses;Vestidos;Vestidos
728;685;"Bombas De Movimento";"Propeller Pumps";"Bombas De Movimiento";"Bombas De Movimento"
795;398;"Snacks de Malte";"Malt Treats";"Snacks de Malta";"Snacks de Malte"
906;890;"Para Limpar WC";"Cleaner & Deodorizers";"Para Limpiar WC";"Para Limpar WC"
910;384;"Repelentes e Ajudas para Treino";"Repellents & Training Aids";"Repelentes y ayudas de Entrenamiento";"Repelentes e Ajudas para Treino"
828;380;"Carrinhos e Acessórios de bicicleta";"Strollers & Bicycle Trailers";"Cochecitos y Accesorios Bicicleta";"Carrinhos e Acessórios de bicicleta"
720;688;Acessórios;Accessories;Accesorios;Acessórios
763;757;"Escovas e Pentes";"Brushes & Combs";"Cepillos y Peines";"Escovas e Pentes"
708;686;"Areia e Substrato";"Sand & Gravel";"Arenas y Sustratos";"Areia e Substrato"
713;687;"Partes de Filtros e Acessórios";"Filter Parts & Accessories";"Recambios de Filtros y Accesorios";"Partes de Filtros e Acessórios"
815;379;"Placas de Identificação e Outros";"ID Tags & Accessories";"Placas de Identificación y Otros";"Placas de Identificação e Outros"
837;383;Apitos;Whistles;Silbatos;Apitos
776;770;"Purificadores de Ar";"Air Fresheners & Deodorizers";"Purificadores de Aire";"Purificadores de Ar"
853;392;"Camas Cobertas";"Covered Beds";"Camas Cubiertas";"Camas Cobertas"
635;631;Dermatológicos;Dermatologic;Dermatológicos;Dermatológicos
877;417;"Camas para Peitoris e Radiadores";"Windosills and Radiators Beds";"Camas para Alféizares y Radiadores";"Camas para Peitoris e Radiadores"
782;361;"Ossos e Snacks Naturais";"Bones & Natural Chews";"Huesos y Snacks Naturales";"Ossos e Snacks Naturais"
923;399;"Tapetes para Comedouros";Placemat;"Manteles Individuales";"Tapetes para Comedouros"
617;613;Dermatológicos;Dermatológicos;Dermatológicos;Dermatológicos
724;689;Acondicionadores;"Water Conditioners";Acondicionadores;Acondicionadores
884;878;"Grooming Sem Água";"Waterless Grooming";"Grooming Sin Agua";"Grooming Sem Água"
618;613;Diabetes;Diabetes;Diabetes;Diabetes
816;379;Estacas;"Tie Outs";Estacas;Estacas
777;770;"Rolos de Remoção de Pêlos";"Hair Removal & Lint Rollers";"Quita Pelos";"Rolos de Remoção de Pêlos"
924;399;"Armazenamento e Acessórios";"Storage & Accessories";"Almacenamiento y Accesorios";"Armazenamento e Acessórios"
838;383;Dummies;Dummies;Dummies;Dummies
854;392;"Camas Elevadas e Refrescantes";"Elevated & Cooling Beds";"Camas Elevadas y Refrescantes";"Camas Elevadas e Refrescantes"
796;398;"Snacks de Dietas Veterinárias";"Veterinary Diet Treats";"Snacks de Dieta Vereinaria";"Snacks de Dietas Veterinárias"
829;380;"Comedouros e Bebedouros de Viagem";"Travel Bowls & Bags";"Comederos y Bebederos de Viaje";"Comedouros e Bebedouros de Viagem"
911;384;"Purificadores de Ar";"Air Fresheners & Deodorizers";"Purificadores de Aire";"Purificadores de Ar"
888;878;"Cuidados com Patas e Unhas";"Paw & Nail Care";"Cuidado de Uñas y Patas";"Cuidados com Patas e Unhas"
849;385;"Armazenamento e Acessórios";"Storage & Accessories";"Almacenamiento y Accesorios";"Armazenamento e Acessórios"
764;757;"Grooming Sem Água";"Waterless Grooming";"Grooming Sin Agua";"Grooming Sem Água"
729;685;"Bombas Para Drenagem";"Solid Handling & Utility Pumps";"Bombas Para Drenaje";"Bombas Para Drenagem"
783;361;"Snacks de Dietas Veterinárias";"Veterinary Diet Treats";"Snacks de Dieta Vereinaria";"Snacks de Dietas Veterinárias"
636;631;Diabetes;Diabetes;Diabetes;Diabetes
725;689;"Testes de Água";"Water Test Kits";"Teste de Agua";"Testes de Água"
709;686;"Comedouros e Acessórios";"Food Dispensers & Accessories";"Comederos y Accesorios";"Comedouros e Acessórios"
726;689;"Sistemas de Co2 e Acessórios";"Co2 Systems & Accessories";"Systemas de Co2 y Accesorios";"Sistemas de Co2 e Acessórios"
833;380;"Anti-Stress para Viagens";"Travel Aids";"Anti-Stress para Viajes";"Anti-Stress para Viagens"
889;878;"Cuidados com Ouvidos";"Ear Care";"Cuidado del Oído";"Cuidados com Ouvidos"
797;398;"Snacks Naturais";"Natural Treats";"Snacks Naturales";"Snacks Naturais"
702;685;"Escovas e Limpadores";"Brushes & Cleaners";"Cepillos y Limpiadores";"Escovas e Limpadores"
912;384;"Rolos de Remoção de Pêlos";"Hair Removal & Lint Rollers";"Quita Pelos";"Rolos de Remoção de Pêlos"
619;613;Gastrointestinal;Gastrointestinal;Gastrointestinal;Gastrointestinal
784;361;"Snacks Secos";"Dried Treats";"Snacks Secos";"Snacks Secos"
637;631;Gastrointestinal;Gastrointestinal;Gastrointestinal;Gastrointestinal
856;392;"Camas Sofás";"Sofa Beds";"Camas Sofás";"Camas Sofás"
839;383;Clickers;Clickers;Clickers;Clickers
768;757;"Cuidados com Patas e Unhas";"Paw & Nail Care";"Cuidado de Uñas y Patas";"Cuidados com Patas e Unhas"
638;631;"Grain Free";"Grain Free";"Grain Free";"Grain Free"
769;757;"Cuidados com Ouvidos";"Ear Care";"Cuidado del Oído";"Cuidados com Ouvidos"
840;383;"Sacos para Snacks";"Treat Bags";"Bolsas para Snacks";"Sacos para Snacks"
857;392;"Mantas, Almofadas e Capas";"Blankets, Cushions & Covers";"Mantas, Cojines y Fundas";"Mantas, Almofadas e Capas"
785;361;"Snacks para Treino";"Training Treats";"Snacks de Entrenamiento";"Snacks para Treino"
620;613;"Sem Cereais";"Grain Free";"Sin Cereales";"Sem Cereais"
703;685;Sifões;Vacuums;Limpafondos;Sifões
727;689;"Tratamento de Plantas";"Plant Care";"Tratamiento de Plantas";"Tratamento de Plantas"
798;398;"Snacks de Higiene Oral";"Dental Treats";"Snacks de Higiene Oral";"Snacks de Higiene Oral"
639;631;"Bolas de Pêlo";Hairball;"Bolas de Pelo";"Bolas de Pêlo"
841;383;Anti-stress;"Calming Aids";Anti-stress;Anti-stress
621;613;"Atividade Intensa";"High Activity";"Actividad Intensa";"Atividade Intensa"
704;685;"Acessórios de Manutenção";"Maintenance Accessories";"Accesorios de Mantenimiento";"Acessórios de Manutenção"
791;361;"Outros Snacks Mastigáveis";"Other Tough Chews";"Otros Snacks Masticables";"Outros Snacks Mastigáveis"
622;613;"Proteção Articular";"Proteção Articular";"Protección Articular";"Proteção Articular"
640;631;"Atividade Intensa";"High Activity";"Atividad Intensa";"Atividade Intensa"
623;613;Hipoalergénicos;Hipoalergénicos;Hipoalergénicos;Hipoalergénicos
641;631;"Proteção Articular";"Hip & Joint Care";"Protección Articular";"Proteção Articular"
624;613;Metabólicos;Metabolic;Metabolicos;Metabólicos
642;631;Hipoalergénicos;Hypoallergenic;Hipoalergénicos;Hipoalergénicos
643;631;Metabólico;Metabolic;Metabólico;Metabólico
625;613;Neurológicos;Neurological;Neurológicos;Neurológicos
644;631;Neurológicos;Neurological;Neurologicos;Neurológicos
626;613;"Proteção Oral";"Oral Care";"Protección Oral";"Proteção Oral"
645;631;"Proteção Oral";"Oral Care";"Protección Oral";"Proteção Oral"
627;613;"Proteção Renal";"Proteção Renal";"Protección Renal";"Proteção Renal"
628;613;"Digestão Sensível";"Digestão Sensível";"Digestión Sensible";"Digestão Sensível"
646;631;"Proteção Renal";"Renal Care";"Protección Renal";"Proteção Renal"
647;631;"Digestão Sensível";"Digestão Sensível";"Digestión Sensible";"Digestão Sensível"
629;613;Stress;Stress;Stress;Stress
648;631;Stress;Stress;Stress;Stress
630;613;Urinário;Urinário;Urinário;Urinário
925;613;Bio;Bio;Bio;Bio
649;631;"Proteção da Tiróide";"Thyroid Care";"Protección de las Tiroides";"Proteção da Tiróide"
